Orthogroup	AT	AagrBONN	AmTr	Azfi	Cericv	EFJ	GBG	Klenit	ME	Os	PILA	PTQ	Potri	Pp	SEGI	SM	Sacu	TnS	VIT	Vocar	Zm
OG0004377	2	1	1	3	1	1	1	1	1	1	2	1	1	2	2	3	1	1	1	1	2
OG0004402	1	1	1	1	1	1	2	1	1	2	3	1	1	2	2	3	1	1	1	2	1
OG0004860	4	0	1	3	4	0	0	0	0	2	0	1	2	0	2	0	1	1	2	0	6
OG0004937	1	1	1	1	2	1	1	1	1	2	2	1	2	1	1	3	1	1	1	1	2
OG0004945	1	1	1	1	1	1	2	1	2	1	1	1	2	2	2	3	0	1	1	1	2
OG0004972	2	1	1	1	1	0	2	1	2	1	1	1	3	1	0	3	1	1	2	1	2
OG0005001	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	4	1	1	1	1	2
OG0005036	1	1	1	2	2	1	1	1	1	1	1	1	1	3	2	3	1	1	1	1	1
OG0005213	1	0	1	2	3	1	0	1	1	1	2	1	1	0	1	0	2	1	1	0	8
OG0005427	1	1	2	1	1	1	1	1	1	1	3	1	1	1	2	3	1	1	1	1	1
OG0005432	1	1	1	1	1	3	0	0	1	1	4	1	2	1	1	3	1	1	1	0	2
OG0005458	1	2	1	1	1	1	1	1	1	1	1	1	1	2	3	3	0	1	2	1	1
OG0005609	1	0	1	2	1	1	1	1	1	1	2	1	2	1	2	3	1	1	1	1	2
OG0005653	1	2	1	1	1	1	1	1	1	2	1	1	1	2	1	3	1	1	1	1	1
OG0005673	1	1	1	1	1	0	1	1	1	1	2	1	1	2	2	3	1	1	1	2	1
OG0005799	1	1	1	2	1	1	0	1	0	1	2	1	2	2	1	4	1	1	1	1	1
OG0005901	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	3	1	1	1	1	2
OG0005957	3	0	1	1	1	1	1	2	1	1	2	2	1	1	1	3	1	1	1	0	1
OG0005972	1	0	1	1	1	2	1	1	1	1	1	1	1	3	1	3	2	2	1	0	1
OG0006194	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	1	1	1	1	2
OG0006538	1	3	1	1	3	0	0	0	0	1	2	3	2	1	2	0	1	2	1	0	0
OG0006767	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1	1	1	1	1
OG0006890	1	1	1	1	1	1	2	0	1	1	0	1	2	2	1	3	1	1	1	1	0
OG0007302	1	1	1	1	1	1	1	0	0	1	1	1	2	1	1	4	1	1	1	0	1
OG0007414	1	1	1	1	1	1	1	1	1	2	0	1	2	1	0	3	0	1	2	0	1
OG0007760	1	0	1	1	1	1	1	1	0	1	1	2	1	1	2	0	1	1	1	2	1
OG0008337	2	1	1	1	1	1	1	0	0	1	0	1	1	1	1	3	0	0	1	0	1
OG0008930	1	0	0	1	2	0	1	1	0	0	2	1	1	1	1	0	1	1	1	0	1
OG0010089	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0010407	1	0	1	0	1	0	0	0	0	1	0	0	2	0	1	0	1	0	1	0	2
OG0010928	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0013678	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0025131	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0025268	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
